cakavski,stokavski
frajat se,"provoditi se, uživati život."
frakalas,"vjetropir, adolescent"
franbovo,malinovac
frantojo,drobilica
fraz,bolest (djeca)
freza,"glodalica, glodalo"
friško,"sviježe, malo hladno (za vrijeme), friška hrana - hrana nije stara"
frita,uštipak
fritaja,"kajgana, omlet"
friti,uštipak
fritula,uštipak
frkalas,vjetropir - adolescent
frmentun,kukuruz
frminanti,šibice (Kastavština)
fruti,"voće, voćke"
fuga,"spoj između elemenata konstrukcije, kamenja ili pločica"
fumat,pušiti  duhan
funcut,obješenjak
fundaće,talog od kave (Kastavština)
fundament,temelj
fundat,potopiti
furbo,prefrigan
furešt,"stranac, primjer : ""ona j furešta, ali se j oženila za Grobničana"". (Grobnišćina)"
furminanti,šibice
gad,zmija
gajba,krletka
Galerija,dio ceste Hreljin - Križišće pred tunelom
gambeta,podmetanje noge (faul)
gamela,limena vojnička posuda
ganac,kuka
ganač,kuka
gatar,vrsta velike ručne pile
gavitel,"plovak, oznaka na moru"
gerica,udarac šibom po dlanovima u svrhu kažnjavanja
gjeda,gleda
gjedan,gledam
gjedati,gledati
gjista,glista
gladit,dragati rukom
gloh,trn
gnjilet,"gnjiliti, trunuti"
gnojišće,"gnojište, mjesto gdje se skuplja stajsko gnojivo"
goba,grba
gobast,"pogrbljen, grbav"
"gof, orhan",vrsta morske ribe
golfo lion,Lionski zaljev
"golinka, golenka",vrsta jestive gljive
gologlavina,meso sa svinjske glave
goma,guma
"gomarići, gumarići, gumarice",tenisice
gomjuša,krpica na štapiću kojom se vlaži kosa pri klepanju
grabjice,male grablje
grabrić,mali grab
"gradelac, grdelac",vrsta ptice
gradeli,roštilj s rešetkama
grah,grašak
graja,"kupina, žbunje, trnje"
grajan,stanovnik grada
grašćica,stanovnica grada
grd,ružan
grdo,ružno
gre,ide
gremo,idemo
gren,idem - ići
grest,grepsti
grešta,pletenica od luka ili češnjaka
grez,"grub, neprofinjen, neotesan, sirov"
grimje,gromovi
grišpa,bora
griz,"kupuruzno brazno, zalogaj"
grje,ružnije
grm,hrast
grmić,hrastić
grmi,grmljavina
grnut,grabljama i metlom od šiblja skupljati suho lišće
gromača,"suhozid, hrpa kamanja"
grop,čvor
grot,"grotlo, kameni otvor na šterni, cisterni"
grota,"stijena kod mora, hrid"
grozje,grožđe
grudi,grudve
grudi,grude
gruh,hrpa kamenja
grunj,ugor
gubica,njuška
gurla,oluk
gušt,"užitak, zadovoljstvo, ukus u hrani"
guvno,"gumno, mjesto gdje se mlati žito"
gvardašol,suncokret
gvera,rat
hahar,"prevarant, mangup"
harta,papir
hipac,trenutak
hita,baca
hitan,bacam
hitati,bacati
hitila,bacila
hlapac,sluga
hodeć,hodajući
hodit,ići
hodit,"ići, hodati"
homo,hajmo
hote,idite
hote semo,dođite
hrahorica,mali žbun
hrbat,leđa
hrptena kost,kralježnica
Hrvacka,Hrvatska
hud,"šupalj, probušen"
hudobina,zločesta osoba
huje,"gore, lošije"
hviri,jedva živi
ido,jelo
imbroj,vrsta velike ribarske mreže
imšempjan,"zaglupiti, smućen"
incerada,kabanica
"inćon, inćun",vrsta plave ribe
infišan,zaljubljen
ingamba,"dobro se drži, u redu"
"inkanat, inkant",dražba
inkantat se,"zaprepastiti se, ukočiti od iznenađenja, straha i sl."
inkaštrat se,"uklještiti se, zaglaviti"
inkolpat,doživjeti srčani udar
inpenjat,zauzet nekim poslom ili obavezom
inšempjan,smućen
inšoma,"dakle, bilo kako bilo"
inštrument,instrument
intimela,jastučnica
intrada,"usjev, ljetina"
inžinjat se,"snaći se, improvizirati, razumjeti se u posao i sl."
iša,"digni, u pomorstvu"
išćat,tražiti
iscrpjen,"iscrpljen, potrošen"
išću,traže
iskat,tražiti
ispekal,ispekao
iveštit,sudariti se
jad,ljutnja
jadan,ljut
jadan,"ljutit, srdit"
jadi se,ljuti se
jadna,ljuta
jagodica,jagoda
jagodica,boba
jaketa,jakna
jalova,neplodna
japnar,"jama, udubljenje u kojem se gasi živo vapno"
japnenica,"vapnenica, mjesto gdje se peče kamen i proizvodi vapno"
japno,vapno
jardin,park
javorika,lovor
jecati,govorna greška
jednega,jednoga
jedva,teško
jenar,siječanj
jerlanda,vijenac
jerlanda,vjenac
jerti,kameni okviri kod vrata i prozora
"jeruh, jerušica",ovca u drugoj godini života
"ješka, ješkat","mamac, stavljat mamac na udicu"
ješkat,mamiti
ješmik,ječam
ješmikovica,napitak od prženog ječma i mlijeka
jidro,jedro
jigla,igla
jigrat se,igrati se
jih,"ih, njih"
jime,ime
jimenovat,imenovat
jimet,posjedovati
jimet,imati
jimet potolicu,biti razmažen
jin,"im, njima"
jincerada,gumeno ili najlonsko zaštitno odijelo
"jir, đir","okret, zavoj"
jist,jesti
jist parićat,pripremiti jelo
jistina,istina
jog,"mjesto gdje se igraju boće, boćalište"
joh,jao
joh mane,jao meni
jota,"primorsko i istarsko jelo od kiselog kupusa, ili repe, graha (fažola)"
jubav,ljubav
jubi,ljubi
jubica,ljubica
Jubljana,Ljubljana
judi,ljudi
julnica,oveće sito od drvenog obruča i pletenog šiblja (za pročišćavanje žita)
jušto,"upravo, točno, baš"
jušto kad san,baš kad sam
juto,ljuto
"jutre, jutra",sutra
južina,"jugovina, južno vrijeme"
kabal,"veća posuda na ručke, obično drvena"
kablić,mala posuda
kacarijola,zaimača
kacavida,odvijač
kačka,zmija
kacot,"stisnuta šaka, udarac šakom u glavu"
kad,kada
kada,kada za kupanje
kadagod,ponekad
kade,gdje
kadena,lanac
kadi,gdje
kadin,lavor
kafe,kava
kaiš,remen
kakara,javni wc
kako,kao
kakov,kakav
"kal, kalić","omanja lokva, udubljenje u ilovači s vodom"
kala,uličica
kalan,spušten
kalandraka,vrsta jela od kuhanih komadića mesa i krumpira
kalat,"spuštati, spustiti"
kalceta,čarapa
kalceti,čarape
kaldaja,posuda u kojoj se grije voda
"kalit, kalat",cijepati drvo po dužini
kalmat,smiriti
kalmat se,smiriti se
kalotina,cjepanica
kaluju,spuštaju
kaluma,plovak
kaluža,"kaljuža, mlaka"
kamara,soba
kamičić,kamenčić
kamičina,kamenčina
"kamijon, kamijoncin","kamion, kamiončić"
kamik,kamen
kampana,zvono
kampanja,"poljoprivredno dobro, seosko imanje"
"kampijun, kampijon",uzorak
kana,cijev
kanela,cjevčica
kanotjera,potkošulja
kanp,kamp
kanpana,zvoniti
kantal,pjevač
kantat,pjevati
kantjer,brodogradilište
kantreda,stolica
kantrida,"stolica (katrida, katrida, kantreda). Na Grobniku se kaže kantrida. No svako područje ima svoj naziv. Npr.u Mošćenicama se kaže kantreda."
kantun,"ugao, kut"
kantunić,mali ugao
kantunjer,cestar
kapo,"šef, gazda"
kapot,kaput
kapricijati,"smetati, izazivati, tvrdoglavost, ne popustiti"
kaput,"pogvareno, uništeno, gotovo (svršeno)"
kapuz,kupus
karak,teret
karatel,mala bačva
karbit,karbid
karbun,ugljen
karijola,građevinska kolica
karoca,kolica
karta,"papir, putna karta"
kartulina,razglednica
kasaleta,lijes
kašća,"spremište za masline, rupa za krumpir"
kasela,"sanduk sa poklopcem, mrtvačka škrinja"
"kaška, kačka",zmija otrovnica
kašneje,kasnije
kason,sanduk
kaštigal,kaznio
kaštigat,kazniti
"kasun, kašun",sanduk
katrida,stolica
kaumišta,uže pojačano čeličnim užetom
"kaval, kavala","vrsta morske ribe, konji"
kaveča,"oglavina, stavlja se na glavu životinje da bi se mogla voditi"
kazerma,vojarna
kažin,metež
"keber, kebar",hrušt
kega,koga
keh,koje
kekica,vrsta malenog cvrčka
kemu,kome
ki,"tko, koji"
kikari,veće šalice
kikarica,šalica
kikarini,male šalice
kipaj,posada
kiren,skakavac
kita,grana
